data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,variazione_terapia_intensiva,variazione_ricoverati_con_sintomi,variazione_totale_ospedalizzati,nuovi_dimessi_guariti,nuovi_deceduti,nuovi_tamponi,nuovi_casi_testati,variazione_isolamento_domiciliare,ti_su_to,to_su_tp,np_su_nt,np_su_nct,var_ti_perc,var_pos_perc
2020-02-25T18:00:00,18,Calabria,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26T18:00:00,18,Calabria,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27T18:00:00,18,Calabria,0,0,0,0,0,0,0,0,0,0.0,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28T18:00:00,18,Calabria,0,0,0,1,1,1,1,0,0,0.0,0.0,1,21,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,14.29,0.0,0.0,0.0
2020-02-29T17:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,0.0,0.0,1,27,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01T17:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,0.0,0.0,1,35,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02T18:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,0.0,0.0,1,39,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03T18:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,0.0,0.0,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04T17:00:00,18,Calabria,0,0,0,1,1,0,0,0,0,0.0,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05T17:00:00,18,Calabria,1,0,1,1,2,1,1,0,0,0.0,0.0,2,53,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,50.0,14.29,0.0,0.0,100.0
